tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
0.01,100,1.0,1.0,2,1,5.2047e-5,3.878e-6,0.13421866,0.014820775,0.011218469,3,6,2,8,1,1,1,1,148,432,88,312
0.01,100,1.0,1.0,3,1,3.9574e-5,2.985e-6,0.572225086,0.046794536,0.016322263,4,6,5,10,1,1,1,1,396,560,524,726
0.01,100,1.0,1.0,4,1,3.5626e-5,1.613e-6,1.187493744,0.066728533,0.033649766,7,8,7,8,1,1,1,1,1436,1700,1620,734
0.01,100,1.0,1.0,5,1,3.7249e-5,1.473e-6,2.256249147,0.092193413,0.040391613,8,8,9,8,1,1,1,1,1656,1888,2868,914
0.01,100,1.0,1.0,6,1,4.2609e-5,1.734e-6,2.260944778,0.099942012,0.042668912,9,7,10,8,1,1,1,1,3416,1576,4192,1060
0.01,100,1.0,10.0,2,1,3.5687e-5,1.483e-6,0.122377026,0.017342591,0.031952591,5,9,5,20,1,1,1,1,320,756,400,1416
0.01,100,1.0,10.0,3,1,4.2259e-5,2.104e-6,0.751866467,0.049066145,0.126688017,8,21,8,64,1,1,1,1,1528,6744,1372,23068
0.01,100,1.0,10.0,4,1,4.0165e-5,2.886e-6,20.535291706,0.44696549,0.540934693,15,25,15,8,1,8,1,1,5296,44244,5184,850
0.01,100,1.0,10.0,5,1,4.4663e-5,2.083e-6,105.972594896,0.781948583,0.80648666,21,25,19,8,1,20,1,1,13880,101776,11916,852
0.01,100,1.0,10.0,6,1,4.4153e-5,1.663e-6,364.745040521,2.158744677,1.552891392,26,30,26,8,1,41,1,1,23576,236536,23264,1092
0.01,100,1.0,100.0,2,1,3.4474e-5,1.343e-6,0.135327214,0.012522247,0.009464168,2,3,2,2,1,1,1,1,40,144,40,40
0.01,100,1.0,100.0,3,1,3.9684e-5,1.853e-6,0.421362395,0.051469659,0.014816767,5,6,5,11,1,1,1,1,572,908,572,1154
0.01,100,1.0,100.0,4,1,4.301e-5,2.024e-6,21.517468233,0.264963756,0.327297011,12,15,13,8,1,8,1,1,3232,20712,3576,576
0.01,100,1.0,100.0,5,1,4.2329e-5,1.643e-6,238.73719916,2.283092012,2.051829046,25,25,27,10,1,58,1,1,17096,170000,19004,1334
0.01,100,1.0,100.0,6,1,4.9603e-5,2.094e-6,1072.068212996,7.289102124,5.37660829,32,22,34,16,1,132,1,1,35108,375804,38576,3048
0.01,100,10.0,1.0,2,1,3.3884e-5,1.873e-6,0.174801704,0.011752369,0.012557645,3,4,3,8,1,1,1,1,144,188,144,300
0.01,100,10.0,1.0,3,1,3.231e-5,1.283e-6,0.600365247,0.0183755,0.013781993,3,5,3,8,1,1,1,1,288,464,288,582
0.01,100,10.0,1.0,4,1,4.1447e-5,1.844e-6,2.3435254,0.029332533,0.030114855,4,2,4,8,1,1,1,1,748,192,648,782
0.01,100,10.0,1.0,5,1,4.0386e-5,1.693e-6,3.499866067,0.055930514,0.027942635,5,3,5,10,1,1,1,1,1180,332,1180,1140
0.01,100,10.0,1.0,6,1,5.1517e-5,2.665e-6,3.925276723,0.082831041,0.048144328,6,3,6,8,1,1,1,1,1840,336,1752,1436
0.01,100,10.0,10.0,2,1,4.2559e-5,1.914e-6,0.200206546,0.013841795,0.009827471,1,2,1,2,1,1,1,1,32,88,32,40
0.01,100,10.0,10.0,3,1,5.0865e-5,2.605e-6,0.572563212,0.018137876,0.015298238,1,4,1,2,1,1,1,1,48,284,48,60
0.01,100,10.0,10.0,4,1,3.9103e-5,1.723e-6,1.234112822,0.060933456,0.020265714,3,4,3,4,1,1,1,1,244,224,232,146
0.01,100,10.0,10.0,5,1,3.9204e-5,1.683e-6,2.632088136,0.070100923,0.042582703,4,5,4,8,1,1,1,1,484,340,484,422
0.01,100,10.0,10.0,6,1,4.0526e-5,1.723e-6,4.061357366,0.075254468,0.029209583,5,3,4,8,1,1,1,1,1072,328,740,724
0.01,100,10.0,100.0,2,1,3.7851e-5,2.244e-6,0.063104926,0.028846785,0.00873589,1,2,1,2,1,1,1,1,32,88,32,40
0.01,100,10.0,100.0,3,1,3.5215e-5,1.754e-6,0.195931006,0.018474405,0.013787764,1,3,1,2,1,1,1,1,48,216,48,60
0.01,100,10.0,100.0,4,1,3.5586e-5,1.543e-6,0.425524901,0.03412392,0.017224489,1,3,1,2,1,1,1,1,64,232,64,80
0.01,100,10.0,100.0,5,1,4.0275e-5,1.262e-6,0.518168625,0.038461519,0.024522622,1,3,1,2,1,1,1,1,80,248,80,100
0.01,100,10.0,100.0,6,1,4.1538e-5,1.423e-6,0.799510245,0.047929788,0.034428149,1,3,1,2,1,1,1,1,96,272,96,120
0.01,100,100.0,1.0,2,1,4.1537e-5,1.593e-6,0.12984599,0.010496281,0.007851357,1,1,1,2,1,1,1,1,32,32,32,40
0.01,100,100.0,1.0,3,1,4.0846e-5,1.443e-6,0.475694937,0.015800247,0.012528681,1,1,1,2,1,1,1,1,48,48,48,60
0.01,100,100.0,1.0,4,1,3.758e-5,1.342e-6,1.083802253,0.040685586,0.015597057,3,1,2,4,1,1,1,1,232,64,120,124
0.01,100,100.0,1.0,5,1,4.5285e-5,2.735e-6,1.531040286,0.048926792,0.022858031,4,1,4,8,1,1,1,1,464,80,484,400
0.01,100,100.0,1.0,6,1,4.2119e-5,2.064e-6,3.316334123,0.05456959,0.035170407,4,1,4,6,1,1,1,1,740,96,728,474
0.01,100,100.0,10.0,2,1,3.4204e-5,1.733e-6,0.045045788,0.009940492,0.021999606,1,1,1,2,1,1,1,1,32,32,32,40
0.01,100,100.0,10.0,3,1,3.6809e-5,2.124e-6,0.13526523,0.014922555,0.015273432,1,1,1,2,1,1,1,1,48,48,48,60
0.01,100,100.0,10.0,4,1,3.4594e-5,1.323e-6,0.290057034,0.033841652,0.01981424,1,1,1,2,1,1,1,1,64,64,64,80
0.01,100,100.0,10.0,5,1,4.0165e-5,1.793e-6,0.311137091,0.040502835,0.035537563,1,1,1,2,1,1,1,1,80,80,80,100
0.01,100,100.0,10.0,6,1,4.0055e-5,1.663e-6,0.523353402,0.042808145,0.035703954,1,1,1,2,1,1,1,1,96,96,96,120
0.01,100,100.0,100.0,2,1,3.4164e-5,1.684e-6,0.045265698,0.010140406,0.007192917,1,1,1,2,1,1,1,1,32,32,32,40
0.01,100,100.0,100.0,3,1,3.5807e-5,1.583e-6,0.112539468,0.030066706,0.01440561,1,1,1,2,1,1,1,1,48,48,48,60
0.01,100,100.0,100.0,4,1,4.0726e-5,1.904e-6,0.186563286,0.019215331,0.019212886,1,1,1,2,1,1,1,1,64,64,64,80
0.01,100,100.0,100.0,5,1,5.0484e-5,2.024e-6,0.296789941,0.024894437,0.032418283,1,1,1,2,1,1,1,1,80,80,80,100
0.01,100,100.0,100.0,6,1,4.1037e-5,1.944e-6,0.400643863,0.048156914,0.029719727,1,1,1,2,1,1,1,1,96,96,96,120
0.01,80,1.0,1.0,2,1,3.721e-5,2.154e-6,0.187623037,0.018331959,0.010717265,4,8,2,8,1,1,1,1,240,704,88,382
0.01,80,1.0,1.0,3,1,4.4714e-5,2.214e-6,0.595696229,0.044456285,0.01584488,5,7,4,8,1,1,1,1,528,780,396,564
0.01,80,1.0,1.0,4,1,3.747e-5,1.442e-6,1.079482158,0.063877291,0.036364118,7,8,7,10,1,1,1,1,1436,1700,1436,894
0.01,80,1.0,1.0,5,1,3.8942e-5,1.904e-6,1.663616868,0.091536716,0.02677323,8,8,9,8,1,1,1,1,2048,1888,2816,914
0.01,80,1.0,1.0,6,1,4.1457e-5,1.693e-6,3.214853583,0.09740673,0.048138299,8,7,8,8,1,1,1,1,2556,1576,3100,1060
0.01,80,1.0,10.0,2,1,3.5857e-5,1.683e-6,0.087562668,0.019319636,0.036431584,5,9,4,20,1,1,1,1,320,756,276,1416
0.01,80,1.0,10.0,3,1,4.1518e-5,1.633e-6,0.995744788,0.046243617,0.086915919,8,21,8,62,1,1,1,1,1476,6744,1372,21686
0.01,80,1.0,10.0,4,1,4.3872e-5,2.144e-6,17.96584285,0.288756702,0.446060386,16,25,15,8,1,8,1,1,5900,44244,5184,850
0.01,80,1.0,10.0,5,1,4.4804e-5,2.384e-6,135.19676655,1.510923264,1.278010025,21,26,20,8,1,43,1,1,14308,110644,12500,852
0.01,80,1.0,10.0,6,1,4.7769e-5,1.764e-6,368.985325165,2.861908898,1.740768387,29,23,23,8,1,56,1,1,28148,228436,18820,952
0.01,80,1.0,100.0,2,1,4.0937e-5,1.923e-6,0.132525867,0.013069066,0.009494402,2,3,2,2,1,1,1,1,40,144,40,40
0.01,80,1.0,100.0,3,1,4.3311e-5,2.124e-6,0.595627319,0.029158258,0.038751725,5,6,5,12,1,1,1,1,552,908,572,1280
0.01,80,1.0,100.0,4,1,4.0826e-5,1.733e-6,22.716243683,0.31867632,0.34094698,10,13,11,8,1,10,1,1,2388,21124,2600,576
0.01,80,1.0,100.0,5,1,4.1628e-5,1.603e-6,248.499223119,3.128252724,2.424843811,27,21,27,10,1,91,1,1,18424,164344,19004,1278
0.01,80,1.0,100.0,6,1,4.9422e-5,2.004e-6,1062.089802013,9.734476107,6.579358162,32,22,34,16,1,205,1,1,33244,372704,39212,2916
0.01,80,10.0,1.0,2,1,4.273e-5,1.984e-6,0.169876511,0.015471731,0.011424568,3,4,3,8,1,1,1,1,144,240,144,262
0.01,80,10.0,1.0,3,1,3.8662e-5,1.844e-6,0.702331217,0.017198724,0.013753857,3,4,3,10,1,1,1,1,288,340,288,688
0.01,80,10.0,1.0,4,1,3.8512e-5,1.593e-6,2.598393005,0.039277738,0.035194237,4,4,4,8,1,1,1,1,748,456,648,740
0.01,80,10.0,1.0,5,1,4.295e-5,2.094e-6,3.448441273,0.064967991,0.027907091,5,3,5,10,1,1,1,1,1180,332,1180,1140
0.01,80,10.0,1.0,6,1,5.0444e-5,2.134e-6,5.757495772,0.099583824,0.031424963,6,3,6,8,1,1,1,1,1840,336,1752,1436
0.01,80,10.0,10.0,2,1,3.5626e-5,1.754e-6,0.139730937,0.013452613,0.033146535,1,2,1,2,1,1,1,1,32,88,32,40
0.01,80,10.0,10.0,3,1,3.9383e-5,1.373e-6,0.447736926,0.018228139,0.01490998,1,3,1,2,1,1,1,1,48,168,48,60
0.01,80,10.0,10.0,4,1,3.6829e-5,2.274e-6,1.299318703,0.038826704,0.027803015,3,4,3,4,1,1,1,1,244,224,232,146
0.01,80,10.0,10.0,5,1,3.8351e-5,1.522e-6,2.99878102,0.053000726,0.024994971,4,5,4,8,1,1,1,1,484,340,484,422
0.01,80,10.0,10.0,6,1,4.1298e-5,1.683e-6,4.061910525,0.080417518,0.041253944,5,3,4,8,1,1,1,1,1072,328,740,724
0.01,80,10.0,100.0,2,1,3.4214e-5,1.563e-6,0.092000863,0.010312847,0.009428744,1,2,1,2,1,1,1,1,32,88,32,40
0.01,80,10.0,100.0,3,1,3.205e-5,1.593e-6,0.17304349,0.019819907,0.031761122,1,3,1,2,1,1,1,1,48,216,48,60
0.01,80,10.0,100.0,4,1,3.6919e-5,1.613e-6,0.296505322,0.020092458,0.038209267,1,3,1,2,1,1,1,1,64,232,64,80
0.01,80,10.0,100.0,5,1,4.0495e-5,1.773e-6,0.566860621,0.028040009,0.038113187,1,3,1,2,1,1,1,1,80,240,80,100
0.01,80,10.0,100.0,6,1,4.0146e-5,1.713e-6,1.250461184,0.050654315,0.038265953,1,3,1,2,1,1,1,1,96,272,96,120
0.01,80,100.0,1.0,2,1,3.4164e-5,1.873e-6,0.104209567,0.036617228,0.009483124,1,1,1,2,1,1,1,1,32,32,32,40
0.01,80,100.0,1.0,3,1,3.5927e-5,1.794e-6,0.332314787,0.019294233,0.015018623,1,1,1,2,1,1,1,1,48,48,48,60
0.01,80,100.0,1.0,4,1,3.5205e-5,1.744e-6,0.747151618,0.044103286,0.013603295,3,1,2,4,1,1,1,1,232,64,120,124
0.01,80,100.0,1.0,5,1,3.9163e-5,1.653e-6,1.404996733,0.067683109,0.023955605,4,1,4,8,1,1,1,1,464,80,484,400
0.01,80,100.0,1.0,6,1,4.1829e-5,1.543e-6,2.232699428,0.054069534,0.037058794,4,1,4,6,1,1,1,1,740,96,728,474
0.01,80,100.0,10.0,2,1,3.4184e-5,1.653e-6,0.042727862,0.010331382,0.008175849,1,1,1,2,1,1,1,1,32,32,32,40
0.01,80,100.0,10.0,3,1,3.6539e-5,1.913e-6,0.13934983,0.018680715,0.015997314,1,1,1,2,1,1,1,1,48,48,48,60
0.01,80,100.0,10.0,4,1,3.6638e-5,1.764e-6,0.253603479,0.022883419,0.030641506,1,1,1,2,1,1,1,1,64,64,64,80
0.01,80,100.0,10.0,5,1,3.7691e-5,1.833e-6,0.481553046,0.046499419,0.034721942,1,1,1,2,1,1,1,1,80,80,80,100
0.01,80,100.0,10.0,6,1,4.796e-5,1.463e-6,0.695407236,0.032091059,0.045090753,1,1,1,2,1,1,1,1,96,96,96,120
0.01,80,100.0,100.0,2,1,3.6048e-5,2.184e-6,0.064241427,0.010130967,0.008814424,1,1,1,2,1,1,1,1,32,32,32,40
0.01,80,100.0,100.0,3,1,3.7681e-5,1.723e-6,0.121608642,0.015140089,0.031448006,1,1,1,2,1,1,1,1,48,48,48,60
0.01,80,100.0,100.0,4,1,4.295e-5,2.144e-6,0.208283807,0.019515848,0.015190484,1,1,1,2,1,1,1,1,64,64,64,80
0.01,80,100.0,100.0,5,1,4.1377e-5,1.614e-6,0.299034759,0.024181538,0.038609395,1,1,1,2,1,1,1,1,80,80,80,100
0.01,80,100.0,100.0,6,1,3.8793e-5,1.903e-6,0.43661174,0.031248802,0.036386456,1,1,1,2,1,1,1,1,96,96,96,120
0.01,60,1.0,1.0,2,1,3.3643e-5,1.693e-6,0.18919051,0.040689177,0.009532307,2,10,4,8,1,1,1,1,88,864,180,312
0.01,60,1.0,1.0,3,1,3.5376e-5,1.313e-6,0.483781062,0.040384566,0.014312862,4,6,6,10,1,1,1,1,396,560,672,726
0.01,60,1.0,1.0,4,1,3.7841e-5,1.793e-6,0.986065046,0.058793022,0.030871336,7,8,8,10,1,1,1,1,1436,1700,1736,894
