tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
0.01,60,1.0,1.0,5,1,4.0095e-5,1.933e-6,2.609002413,0.071825728,0.040956647,7,8,9,8,1,1,1,1,1700,1888,2444,914
0.01,60,1.0,1.0,6,1,4.9072e-5,1.934e-6,2.755906441,0.098533934,0.030961504,7,7,9,8,1,1,1,1,2576,1576,3232,1060
0.01,60,1.0,10.0,2,1,3.6068e-5,1.803e-6,0.13231293,0.019283292,0.038280299,5,9,5,20,1,1,1,1,336,756,400,1416
0.01,60,1.0,10.0,3,1,4.0025e-5,1.733e-6,1.03205118,0.055583125,0.093020727,8,21,8,62,1,1,1,1,1476,6744,1420,21686
0.01,60,1.0,10.0,4,1,3.9314e-5,1.442e-6,21.381344598,0.385026963,0.449684375,16,18,15,8,1,16,1,1,5600,43124,5184,850
0.01,60,1.0,10.0,5,1,3.9163e-5,1.783e-6,121.294438559,1.795791817,1.16406167,23,22,19,6,1,50,1,1,14916,131200,11916,616
0.01,60,1.0,10.0,6,1,4.279e-5,1.613e-6,385.75677995,3.819446948,2.495275986,27,18,28,8,1,107,1,1,25664,236564,26168,952
0.01,60,1.0,100.0,2,1,3.8421e-5,2.524e-6,0.142836788,0.010374225,0.009881283,2,3,2,2,1,1,1,1,40,144,40,40
0.01,60,1.0,100.0,3,1,4.0947e-5,1.864e-6,0.482652835,0.023891259,0.039623827,5,6,5,12,1,1,1,1,552,908,552,1280
0.01,60,1.0,100.0,4,1,3.6037e-5,1.704e-6,28.90546323,0.542422014,0.553056095,12,11,13,8,1,22,1,1,3152,20980,3764,568
0.01,60,1.0,100.0,5,1,3.8352e-5,1.784e-6,255.24520958,4.344281606,2.749096457,28,18,26,10,1,130,1,1,20396,157460,18804,1368
0.01,60,1.0,100.0,6,1,5.1065e-5,2.164e-6,1136.864596901,20.10804549,13.12213779,33,17,34,16,1,383,3,1,37696,412880,81400,3090
0.01,60,10.0,1.0,2,1,4.3021e-5,1.563e-6,0.122985944,0.01564781,0.041511678,3,5,3,8,1,1,1,1,144,352,144,300
0.01,60,10.0,1.0,3,1,3.6178e-5,2.164e-6,0.59928741,0.01664122,0.013957615,3,3,3,8,1,1,1,1,288,144,288,442
0.01,60,10.0,1.0,4,1,3.5326e-5,1.453e-6,1.818532166,0.030465174,0.042273223,4,2,4,8,1,1,1,1,748,192,648,782
0.01,60,10.0,1.0,5,1,4.786e-5,1.853e-6,4.560523064,0.060976423,0.029353843,5,3,5,10,1,1,1,1,1180,332,1180,1140
0.01,60,10.0,1.0,6,1,4.6357e-5,2.264e-6,5.576319285,0.086304055,0.031100112,6,3,6,8,1,1,1,1,1840,336,1752,1436
0.01,60,10.0,10.0,2,1,3.6078e-5,1.853e-6,0.132238773,0.010528624,0.008843959,1,3,1,2,1,1,1,1,32,144,32,40
0.01,60,10.0,10.0,3,1,3.3973e-5,1.944e-6,0.442112387,0.018475965,0.013306475,1,3,1,2,1,1,1,1,48,168,48,60
0.01,60,10.0,10.0,4,1,3.6538e-5,1.463e-6,1.540980363,0.036250375,0.035816602,3,4,3,4,1,1,1,1,244,224,232,146
0.01,60,10.0,10.0,5,1,3.7541e-5,1.452e-6,2.513289303,0.060917971,0.023891655,4,5,4,8,1,1,1,1,484,340,484,422
0.01,60,10.0,10.0,6,1,4.6518e-5,1.743e-6,4.245783014,0.092219949,0.047147337,5,3,4,8,1,1,1,1,1108,328,740,724
0.01,60,10.0,100.0,2,1,3.4875e-5,1.243e-6,0.067999709,0.013337543,0.032601472,1,2,1,2,1,1,1,1,32,88,32,40
0.01,60,10.0,100.0,3,1,3.4986e-5,1.753e-6,0.193176285,0.016432257,0.014720081,1,3,1,2,1,1,1,1,48,216,48,60
0.01,60,10.0,100.0,4,1,3.6729e-5,1.884e-6,0.315654378,0.020604238,0.035887665,1,3,1,2,1,1,1,1,64,232,64,80
0.01,60,10.0,100.0,5,1,4.1979e-5,1.573e-6,0.592016515,0.025975806,0.022341361,1,3,1,2,1,1,1,1,80,248,80,100
0.01,60,10.0,100.0,6,1,4.7499e-5,1.914e-6,0.999441235,0.034202159,0.036715334,1,3,1,2,1,1,1,1,96,272,96,120
0.01,60,100.0,1.0,2,1,3.7e-5,1.843e-6,0.079212874,0.010412005,0.008958183,1,1,1,2,1,1,1,1,32,32,32,40
0.01,60,100.0,1.0,3,1,3.6358e-5,1.593e-6,0.337141046,0.043602489,0.012193691,1,1,1,2,1,1,1,1,48,48,48,60
0.01,60,100.0,1.0,4,1,3.6629e-5,2.224e-6,0.74908685,0.031368523,0.040475925,3,1,2,4,1,1,1,1,232,64,120,124
0.01,60,100.0,1.0,5,1,4.1949e-5,2.544e-6,1.632256212,0.057529985,0.02178002,4,1,4,8,1,1,1,1,464,80,484,400
0.01,60,100.0,1.0,6,1,3.6268e-5,1.562e-6,3.131727716,0.062855846,0.028149706,4,1,4,6,1,1,1,1,740,96,728,474
0.01,60,100.0,10.0,2,1,3.3463e-5,1.603e-6,0.041028649,0.009956722,0.008962811,1,1,1,2,1,1,1,1,32,32,32,40
0.01,60,100.0,10.0,3,1,3.3713e-5,2.144e-6,0.140176135,0.015181415,0.036140286,1,1,1,2,1,1,1,1,48,48,48,60
0.01,60,100.0,10.0,4,1,4.6607e-5,2.104e-6,0.32097532,0.020760771,0.034595053,1,1,1,2,1,1,1,1,64,64,64,80
0.01,60,100.0,10.0,5,1,3.9755e-5,1.643e-6,0.358501952,0.02521478,0.020753016,1,1,1,2,1,1,1,1,80,80,80,100
0.01,60,100.0,10.0,6,1,4.0626e-5,1.513e-6,0.66186841,0.05217574,0.02838176,1,1,1,2,1,1,1,1,96,96,96,120
0.01,60,100.0,100.0,2,1,3.5286e-5,1.142e-6,0.049188527,0.010960181,0.031132039,1,1,1,2,1,1,1,1,32,32,32,40
0.01,60,100.0,100.0,3,1,4.0707e-5,1.593e-6,0.120969734,0.015226378,0.01147188,1,1,1,2,1,1,1,1,48,48,48,60
0.01,60,100.0,100.0,4,1,3.4254e-5,1.403e-6,0.190828933,0.044500028,0.015924446,1,1,1,2,1,1,1,1,64,64,64,80
0.01,60,100.0,100.0,5,1,3.9103e-5,2.084e-6,0.295162938,0.024936109,0.041367954,1,1,1,2,1,1,1,1,80,80,80,100
0.01,60,100.0,100.0,6,1,4.5585e-5,1.613e-6,0.442984117,0.029991904,0.026445214,1,1,1,2,1,1,1,1,96,96,96,120
0.01,40,1.0,1.0,2,1,3.759e-5,2.175e-6,0.171137493,0.017939528,0.009662612,2,6,4,8,1,1,1,1,88,432,180,312
0.01,40,1.0,1.0,3,1,3.3422e-5,1.623e-6,0.457773636,0.024964371,0.014086825,5,6,4,8,1,1,1,1,468,560,396,564
0.01,40,1.0,1.0,4,1,3.6348e-5,1.573e-6,1.420885087,0.065837879,0.017415277,9,8,8,10,1,1,1,1,2040,1700,1544,894
0.01,40,1.0,1.0,5,1,3.8793e-5,1.403e-6,2.081071206,0.07690021,0.023210167,7,8,9,8,1,1,1,1,1800,1888,2556,938
0.01,40,1.0,1.0,6,1,4.6447e-5,2.024e-6,2.064186988,0.094022728,0.045979697,8,7,8,8,1,1,1,1,2532,1576,2836,1036
0.01,40,1.0,10.0,2,1,3.4124e-5,1.793e-6,0.132342574,0.021704988,0.013127078,5,9,5,20,1,1,1,1,400,756,400,1416
0.01,40,1.0,10.0,3,1,4.0575e-5,2.134e-6,2.378630938,0.139928505,0.15520627,8,17,8,10,1,6,1,1,1476,7708,1420,656
0.01,40,1.0,10.0,4,1,4.7579e-5,2.594e-6,28.503268546,1.148361329,0.740776484,15,16,15,8,1,44,1,1,5396,40604,5184,728
0.01,40,1.0,10.0,5,1,4.5715e-5,1.814e-6,162.431751642,5.075768203,6.641760837,22,14,22,4,6,144,14,4,54044,133664,98524,1352
0.01,40,1.0,10.0,6,1,4.3161e-5,1.262e-6,2188.717101524,38.473277776,108.382379056,24,16,25,4,214,260,311,4,1046356,259596,1119372,1432
0.01,40,1.0,100.0,2,1,4.5515e-5,2.215e-6,0.097073703,0.010517655,0.00794751,2,3,2,2,1,1,1,1,40,144,40,40
0.01,40,1.0,100.0,3,1,3.8322e-5,1.623e-6,0.456604217,0.030589215,0.017224686,5,6,5,12,1,1,1,1,572,908,572,1280
0.01,40,1.0,100.0,4,1,3.6708e-5,1.613e-6,28.166917542,0.85890342,0.502917766,11,10,11,8,1,33,1,1,2900,27832,2800,568
0.01,40,1.0,100.0,5,1,4.804e-5,2.234e-6,296.078313423,10.933378385,20.625992878,22,13,25,14,6,297,34,4,63828,164800,202604,7688
0.01,40,1.0,100.0,6,1,4.6467e-5,2.114e-6,3594.273089225,94.097254987,540.745399236,23,14,30,16,18,970,474,4,304860,500388,2136928,10226
0.01,40,10.0,1.0,2,1,3.9785e-5,2.685e-6,0.132631506,0.01541778,0.009948219,3,4,3,8,1,1,1,1,144,188,144,310
0.01,40,10.0,1.0,3,1,3.8322e-5,1.703e-6,0.629831434,0.017412151,0.013062094,3,3,3,8,1,1,1,1,288,164,288,442
0.01,40,10.0,1.0,4,1,4.237e-5,2.164e-6,1.983211787,0.031357606,0.019857755,4,2,4,8,1,1,1,1,748,192,648,782
0.01,40,10.0,1.0,5,1,5.1957e-5,2.885e-6,4.718311692,0.088131576,0.026003622,5,3,5,10,1,1,1,1,1180,332,1180,1140
0.01,40,10.0,1.0,6,1,5.1987e-5,1.864e-6,4.768276219,0.055392495,0.061217061,6,3,6,8,1,1,1,1,1840,336,1752,1436
0.01,40,10.0,10.0,2,1,3.6087e-5,1.623e-6,0.107562042,0.010901622,0.01034975,1,2,1,2,1,1,1,1,32,88,32,40
0.01,40,10.0,10.0,3,1,3.4564e-5,1.543e-6,0.606076588,0.023708178,0.044389263,1,4,1,2,1,1,1,1,48,332,48,60
0.01,40,10.0,10.0,4,1,3.8372e-5,1.703e-6,1.530498952,0.064275422,0.018493523,3,4,3,4,1,1,1,1,244,224,232,146
0.01,40,10.0,10.0,5,1,3.9815e-5,1.603e-6,2.594225975,0.079752712,0.027287964,4,5,4,8,1,1,1,1,484,340,484,422
0.01,40,10.0,10.0,6,1,4.6297e-5,2.124e-6,4.128698025,0.071603689,0.034141925,5,3,4,8,1,1,1,1,1108,328,740,724
0.01,40,10.0,100.0,2,1,4.5915e-5,2.225e-6,0.057283151,0.013051324,0.008732805,1,2,1,2,1,1,1,1,32,88,32,40
0.01,40,10.0,100.0,3,1,4.0456e-5,1.623e-6,0.202987602,0.01564779,0.014651346,1,3,1,2,1,1,1,1,48,216,48,60
0.01,40,10.0,100.0,4,1,4.0446e-5,1.843e-6,0.322463119,0.024307699,0.048456892,1,3,1,2,1,1,1,1,64,232,64,80
0.01,40,10.0,100.0,5,1,3.9373e-5,1.664e-6,0.583643674,0.027220598,0.056942404,1,3,1,2,1,1,1,1,80,248,80,100
0.01,40,10.0,100.0,6,1,4.1959e-5,1.352e-6,1.024594181,0.037027242,0.057079,1,3,1,2,1,1,1,1,96,272,96,120
0.01,40,100.0,1.0,2,1,3.1589e-5,1.583e-6,0.104639936,0.012984358,0.009826161,1,1,1,2,1,1,1,1,32,32,32,40
0.01,40,100.0,1.0,3,1,3.7891e-5,1.433e-6,0.362019811,0.016298218,0.011659119,1,1,1,2,1,1,1,1,48,48,48,60
0.01,40,100.0,1.0,4,1,3.775e-5,1.253e-6,0.786752552,0.031681552,0.017009418,3,1,2,4,1,1,1,1,232,64,120,124
0.01,40,100.0,1.0,5,1,4.1097e-5,2.084e-6,1.92196444,0.072054232,0.022438653,4,1,4,8,1,1,1,1,464,80,484,400
0.01,40,100.0,1.0,6,1,4.5235e-5,2.043e-6,2.736747053,0.045359949,0.026656593,4,1,4,6,1,1,1,1,740,96,728,474
0.01,40,100.0,10.0,2,1,4.8882e-5,2.915e-6,0.046083032,0.010775907,0.007975288,1,1,1,2,1,1,1,1,32,32,32,40
0.01,40,100.0,10.0,3,1,3.3963e-5,1.573e-6,0.156913437,0.015410456,0.011365339,1,1,1,2,1,1,1,1,48,48,48,60
0.01,40,100.0,10.0,4,1,3.6248e-5,1.733e-6,0.288358433,0.020664193,0.016002894,1,1,1,2,1,1,1,1,64,64,64,80
0.01,40,100.0,10.0,5,1,3.9995e-5,1.904e-6,0.316391921,0.02625935,0.022767809,1,1,1,2,1,1,1,1,80,80,80,100
0.01,40,100.0,10.0,6,1,6.2226e-5,3.547e-6,0.546520942,0.065625347,0.027798298,1,1,1,2,1,1,1,1,96,96,96,120
0.01,40,100.0,100.0,2,1,3.5917e-5,1.693e-6,0.047152752,0.010606681,0.008202323,1,1,1,2,1,1,1,1,32,32,32,40
0.01,40,100.0,100.0,3,1,3.5436e-5,1.493e-6,0.130613381,0.015613626,0.011893708,1,1,1,2,1,1,1,1,48,48,48,60
0.01,40,100.0,100.0,4,1,3.8722e-5,1.433e-6,0.199202571,0.020279113,0.013876497,1,1,1,2,1,1,1,1,64,64,64,80
0.01,40,100.0,100.0,5,1,3.8592e-5,1.943e-6,0.321006694,0.025460555,0.022274677,1,1,1,2,1,1,1,1,80,80,80,100
0.01,40,100.0,100.0,6,1,3.9744e-5,1.654e-6,0.467799689,0.030534527,0.028661343,1,1,1,2,1,1,1,1,96,96,96,120
0.01,30,1.0,1.0,2,1,3.5316e-5,1.633e-6,0.174652469,0.018554116,0.009565874,4,6,2,8,1,1,1,1,212,432,88,312
0.01,30,1.0,1.0,3,1,3.7881e-5,2.054e-6,0.445669463,0.030991011,0.012494702,5,6,7,10,1,1,1,1,524,560,872,726
0.01,30,1.0,1.0,4,1,3.6458e-5,1.493e-6,1.328331317,0.04687352,0.018098544,7,8,8,10,1,1,1,1,1492,1700,1544,894
0.01,30,1.0,1.0,5,1,4.0796e-5,1.984e-6,2.318758093,0.086612124,0.025875171,6,8,9,8,1,1,1,1,1700,1888,2624,914
0.01,30,1.0,1.0,6,1,4.3461e-5,1.523e-6,1.985545767,0.092695493,0.031034783,5,7,7,8,1,1,1,1,1384,1576,2552,1036
0.01,30,1.0,10.0,2,1,3.3713e-5,1.563e-6,0.160498913,0.017966918,0.010753294,5,9,5,20,1,1,1,1,400,756,400,1416
0.01,30,1.0,10.0,3,1,4.2259e-5,2.164e-6,2.499139044,0.08369146,0.151555264,8,10,8,10,1,8,1,1,1476,6892,1372,656
0.01,30,1.0,10.0,4,1,3.795e-5,1.713e-6,37.140505269,1.509702229,2.043620925,12,13,11,8,6,69,6,4,17644,40432,16512,2894
0.01,30,1.0,10.0,5,1,4.3922e-5,2.003e-6,1257.568536257,39.281817015,126.79522955,22,11,22,4,293,273,454,4,688860,135412,757964,1172
